2021-10-18 22:05:13 - INFO - saving to ./results/BLResNet18
2021-10-18 22:05:13 - DEBUG - run arguments: Namespace(results_dir='./results', save='BLResNet18', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-10-18 22:05:13 - INFO - creating model resnet_binary
2021-10-18 22:05:13 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-10-18 22:05:13 - INFO - number of parameters: 736312
2021-10-18 22:05:30 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting method = SGD
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-10-18 22:14:51 - INFO - EVALUATING - Epoch: [0][900/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.0923 (3.1613)	Prec@1 12.500 (5.502)	Prec@5 52.344 (26.093)
2021-10-18 22:14:53 - INFO - EVALUATING - Epoch: [0][1000/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.2544 (3.1604)	Prec@1 0.391 (5.721)	Prec@5 3.906 (26.795)
2021-10-18 22:14:55 - INFO - EVALUATING - Epoch: [0][1100/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.1552 (3.1663)	Prec@1 3.906 (5.307)	Prec@5 23.438 (25.210)
2021-10-18 22:14:58 - INFO - EVALUATING - Epoch: [0][1200/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.1626 (3.1657)	Prec@1 3.125 (5.136)	Prec@5 19.922 (24.995)
2021-10-18 22:15:00 - INFO - EVALUATING - Epoch: [0][1300/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.1849 (3.1659)	Prec@1 1.562 (4.920)	Prec@5 10.547 (24.522)
2021-10-18 22:15:02 - INFO - EVALUATING - Epoch: [0][1400/2496]	Time 0.024 (0.024)	Data 0.000 (0.001)	Loss 3.2217 (3.1672)	Prec@1 1.562 (4.687)	Prec@5 10.938 (23.766)
2021-10-18 22:15:04 - INFO - EVALUATING - Epoch: [0][1500/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.1995 (3.1704)	Prec@1 2.344 (4.473)	Prec@5 12.891 (22.856)
2021-10-18 22:15:07 - INFO - EVALUATING - Epoch: [0][1600/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.2026 (3.1723)	Prec@1 0.781 (4.383)	Prec@5 10.156 (22.383)
2021-10-18 22:15:09 - INFO - EVALUATING - Epoch: [0][1700/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.2349 (3.1740)	Prec@1 0.391 (4.191)	Prec@5 3.906 (21.662)
2021-10-18 22:15:11 - INFO - EVALUATING - Epoch: [0][1800/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.2159 (3.1769)	Prec@1 0.000 (3.978)	Prec@5 5.469 (20.727)
2021-10-18 22:15:14 - INFO - EVALUATING - Epoch: [0][1900/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.2064 (3.1786)	Prec@1 0.391 (3.790)	Prec@5 9.375 (19.993)
2021-10-18 22:15:16 - INFO - EVALUATING - Epoch: [0][2000/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.1069 (3.1749)	Prec@1 16.016 (4.305)	Prec@5 49.219 (21.373)
2021-10-18 22:15:18 - INFO - EVALUATING - Epoch: [0][2100/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.1927 (3.1755)	Prec@1 1.953 (4.235)	Prec@5 16.016 (21.160)
2021-10-18 22:15:21 - INFO - EVALUATING - Epoch: [0][2200/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.1437 (3.1745)	Prec@1 4.688 (4.171)	Prec@5 25.000 (21.289)
2021-10-18 22:15:23 - INFO - EVALUATING - Epoch: [0][2300/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.2975 (3.1797)	Prec@1 8.984 (4.174)	Prec@5 25.391 (20.970)
2021-10-18 22:15:25 - INFO - EVALUATING - Epoch: [0][2400/2496]	Time 0.023 (0.024)	Data 0.000 (0.001)	Loss 3.2756 (3.1844)	Prec@1 7.812 (4.289)	Prec@5 22.266 (20.873)
2021-10-18 22:15:28 - INFO - 
